user_id,model,lda_gini,bert_gini,post_count,lda_duplicate_ratio,bert_duplicate_ratio
6druz,LDA only,0.6420794891885829,0.7142857142857143,2.0,0.0,0.0
charlesjharper,LDA only,0.339839203224983,0.6977392509323841,7.0,0.0,0.0
chrixmorgan,BERTopic only,0.2937411287566647,0.8128840610631596,11.0,0.0001064271346622,0.0002747091026823
clydedaws0n,LDA only,0.8160720820305869,0.7045450764287252,1.0,0.0,0.0
heyheyhailey,BERTopic only,0.255765839581727,0.8159539472842373,6.0,0.0,0.0
itstimetosecede,LDA only,0.6332979116996285,0.7135903473210292,5.0,0.0,0.0
jarrardnorman,BERTopic only,0.2667118681565625,0.8234813639716462,6.0,0.0,0.0
kencannone,BERTopic only,0.2746368293155683,0.8166146636677751,6.0,0.0,0.0
loragreeen,BERTopic only,0.2983464683056809,0.8194205355227799,9.0,0.0,0.0
orrclay,LDA only,0.573428655694643,0.6948234467002165,2.0,0.0,0.0
