user_id,post_count,gini_coefficient,shannon_entropy,top1_ratio,top2_ratio,dominant_topic,suspicious_post_freq,suspicious_narrowness,duplicate_post_ratio,suspicious_duplicates,suspicious
oooonlyone,1,0.9090909090909091,0.0,1.0,1.0,0,True,True,0.0,False,True
tinatkurtz1222,1,0.9090909090909091,0.0,1.0,1.0,2,True,True,0.0,False,True
arseni_roman,1,0.9090909090909091,0.0,1.0,1.0,8,True,True,0.0,False,True
horrorki,1,0.9090909090909091,0.0,1.0,1.0,0,True,True,0.0,False,True
handsome_henson,1,0.9090909090909091,0.0,1.0,1.0,1,True,True,0.0,False,True
ostrovofficer,1,0.9090909090909091,0.0,1.0,1.0,0,True,True,0.0,False,True
bratuha_borcuha,1,0.9090909090909091,0.0,1.0,1.0,8,True,True,0.0,False,True
med_harley,1,0.9090909090909091,0.0,1.0,1.0,8,True,True,0.0,False,True
briys_valera,1,0.9090909090909091,0.0,1.0,1.0,0,True,True,0.0,False,True
gorelkinnn,1,0.9090909090909091,0.0,1.0,1.0,9,True,True,0.0,False,True
globalfoe,1,0.9090909090909091,0.0,1.0,1.0,0,True,True,0.0,False,True
moda_barina,1,0.9090909090909091,0.0,1.0,1.0,9,True,True,0.0,False,True
fischermaria933,1,0.9090909090909091,0.0,1.0,1.0,2,True,True,0.0,False,True
mrservelat,1,0.9090909090909091,0.0,1.0,1.0,8,True,True,0.0,False,True
mwiqcen,1,0.9090909090909091,0.0,1.0,1.0,9,True,True,0.0,False,True
christinacrisss,1,0.9090909090909091,0.0,1.0,1.0,0,True,True,0.0,False,True
nana_lama,1,0.9090909090909091,0.0,1.0,1.0,8,True,True,0.0,False,True
krivelev_law,1,0.9090909090909091,0.0,1.0,1.0,8,True,True,0.0,False,True
lmarinays,1,0.9090909090909091,0.0,1.0,1.0,9,True,True,0.0,False,True
edmundc0oke,1,0.9090909090909091,0.0,1.0,1.0,3,True,True,0.0,False,True
ttlenlen,1,0.9090909090909091,0.0,1.0,1.0,8,True,True,0.0,False,True
jorda_morgan,1,0.9090909090909091,0.0,1.0,1.0,9,True,True,0.0,False,True
joseph_jenks,1,0.9090909090909091,0.0,1.0,1.0,1,True,True,0.0,False,True
jon_underwood_,1,0.9090909090909091,0.0,1.0,1.0,1,True,True,0.0,False,True
albertmorenmore,1,0.9090909090909091,0.0,1.0,1.0,1,True,True,0.0,False,True
zistti,1,0.9090909090909091,0.0,1.0,1.0,0,True,True,0.0,False,True
milimillennium,1,0.9085577075451867,0.021493862320736638,0.9981644,0.9996754,8,True,True,0.0,False,True
inspectan,1,0.9082156370957366,0.03312468622268422,0.9969869,0.9994672,8,True,True,0.0,False,True
shapka_mono,2,0.907705698178723,0.03844126921290274,0.996808,0.99824405,0,True,True,0.0,False,True
msm0re,2,0.907696876363545,0.03867889817904566,0.9967852,0.9982314,0,True,True,0.0,False,True
rus_in_usa,2,0.9059750875842564,0.09874811706132179,0.9892494,0.99799687,4,True,True,0.0,False,True
sovasof,2,0.9039451312709571,0.16700493550105502,0.9789901,0.9968451,9,True,True,0.0,False,True
coldwar20_ru,4,0.9022080367138604,0.1907565565028005,0.97625184,0.9955751,4,True,True,0.0,False,True
maxdementiev,5,0.9017163799714548,0.201819662987021,0.97455525,0.9952589,4,True,True,0.0,False,True
margosavazh,5,0.9001578474730002,0.23581988063850076,0.96917886,0.99425703,4,True,True,0.0,False,True
kadirovrussia,6,0.8990379625564636,0.25937615084669746,0.9653147,0.99353707,4,True,True,0.0,False,True
lavrovmuesli,10,0.8984886041647778,0.270690609975154,0.96341914,0.99318373,4,True,True,0.0,False,True
anzgri,2,0.8983062363801142,0.2253959261783805,0.9750525,0.9863402,0,True,True,0.0,False,True
riafanru,1,0.8976277668075825,0.28813119861650055,0.96044815,0.9926303,4,True,True,0.0,False,True
darknally,39,0.8967636295873597,0.22485009624020466,0.9761787,0.98386693,0,True,True,0.0,False,True
cascaseyp,20,0.8946285109163898,0.2724580971759024,0.96934587,0.98077077,0,True,True,0.0,False,True
bricegeller,7,0.8926581985737101,0.3101173532136452,0.9638615,0.9778663,0,True,True,0.0,False,True
sergeev_tolik,11,0.8925909900802828,0.329108064482881,0.9601843,0.9793369,0,True,True,0.0,False,True
ssus_panther,1,0.8919009528630722,0.2808975438277167,0.96951264,0.97853565,0,True,True,0.0,False,True
dannythehappies,25,0.8918786016773628,0.3079988924181485,0.96473783,0.9768288,0,True,True,0.0,False,True
whitehousecards,60,0.8918713674476973,0.3992857141544382,0.94263625,0.9851667,4,True,True,0.00024285107158035334,False,True
tezaharov,6,0.8914997409833761,0.32196865618677,0.962475,0.9766322,0,True,True,0.0,False,True
ericarutter,5,0.8906024221118994,0.3221655548241765,0.9629336,0.97538346,0,True,True,0.0,False,True
abigailssilk,8,0.88833407877073,0.34627128810404856,0.9601086,0.97385734,0,True,True,0.0,False,True
heyheyhailey,17,0.8880925431437054,0.3626067162309507,0.9570976,0.97165895,0,True,True,0.0,False,True
hellieedwards,27,0.8873815384031122,0.3694561402798756,0.9562232,0.9706416,0,True,True,0.0,False,True
gab1aldana,27,0.8871141543142336,0.37388735927068134,0.9556285,0.9709238,0,True,True,0.0008048289738430583,False,True
ilikebigbuttand,34,0.8871120468181939,0.37853011692204824,0.9547039,0.9705201,0,True,True,0.0,False,True
holycrapchrix,25,0.8870601536559277,0.3785819696912834,0.95477074,0.97071123,0,True,True,0.0004993757802746567,False,True
johnnymarch_,9,0.8868869918571124,0.3907702941666052,0.9525144,0.96924794,0,True,True,0.0,False,True
worldofhashtags,52,0.886780407985249,0.3743029123508286,0.95571727,0.97056043,0,True,True,0.0002820940783751381,False,True
jerstoner,8,0.8867461850369762,0.407678811481845,0.94915897,0.9707972,0,True,True,0.0016326530612244899,False,True
brentmcclure275,13,0.8867198141617936,0.41208371712706865,0.94825757,0.9712548,0,True,True,0.0018501387604070306,False,True
kencannone,16,0.8864912931149607,0.3744441531028497,0.9558677,0.96993303,0,True,True,0.0,False,True
novostidamask,7,0.8858224279129318,0.5004100940049,0.9197141,0.9850409,4,True,True,0.0,False,True
jarrardnorman,24,0.885503261519332,0.40169708290218564,0.95132625,0.96882033,0,True,True,0.0,False,True
aiden7757,22,0.8851819212090576,0.3967369742643141,0.95252746,0.9682443,0,True,True,0.0,False,True
sergbriantsev,6,0.8851755738511304,0.42133191219456534,0.9476302,0.9685167,0,True,True,0.0,False,True
batonrougevoice,93,0.8850193157067908,0.4175590857869252,0.9486519,0.9688216,0,True,True,0.0003026599150224085,False,True
calebpaar,23,0.884928281164524,0.40144057077842377,0.95174474,0.96769565,0,True,True,0.0,False,True
loragreeen,33,0.8847557744075032,0.4189693435240002,0.94840497,0.96739995,0,True,True,0.0,False,True
hipppo_,23,0.884673654306401,0.4097191706560186,0.9502864,0.9667876,0,True,True,0.0,False,True
kaydenmelton,9,0.8845736372391365,0.4474614943141281,0.9424771,0.9689056,0,True,True,0.0,False,True
dickyirwin,22,0.8843478971242148,0.4076334940533426,0.95091194,0.9670161,0,True,True,0.0,False,True
oaklandonline,73,0.8840992946662736,0.42736949214009234,0.9473224,0.96711564,0,True,True,0.0017467248908296944,False,True
onlinecleveland,104,0.8838423536735432,0.41603252478220415,0.9498,0.9669662,0,True,True,5.706744658843671e-05,False,True
bgarner2107,28,0.8837954541414694,0.4312277509295486,0.9466564,0.96701586,0,True,True,0.0,False,True
amandavgreen,26,0.8837349315164278,0.41804949431586047,0.9492614,0.96587455,0,True,True,0.0,False,True
claypaigeboo,10,0.8836763853265284,0.4707227067869383,0.9379997,0.9685457,0,True,True,0.0,False,True
gibbs_jeremy_,1,0.8835604694205972,0.5595732007932741,0.9004189,0.9869352,1,True,True,0.0,False,True
elpasotopnews,4,0.8834985996504077,0.4320658223872031,0.9466329,0.96437037,0,True,True,0.0,False,True
catelinewatkins,12,0.8833992274187714,0.44269886475510983,0.9445883,0.96713245,0,True,True,0.0,False,True
adrienne_gg,23,0.8833368429469683,0.4168593313762271,0.94979125,0.9660027,0,True,True,0.0,False,True
vasilichvasili,18,0.8828177691948185,0.464270476670181,0.9403865,0.9662324,0,True,True,0.0,False,True
richmondvoice,57,0.8826659737278092,0.44711400336805984,0.94421643,0.96397644,0,True,True,0.0008128979813033464,False,True
jmscoxxx,24,0.8825802995456343,0.44416557579733057,0.9448638,0.9650581,0,True,True,0.0,False,True
brightandglory,30,0.8822382214468547,0.43409801238546075,0.94712913,0.96436775,0,True,True,0.0,False,True
skatewake1994,15,0.8818473183710361,0.5116102061683642,0.9297595,0.96657157,0,True,True,0.0,False,True
donnielmiller,5,0.8814531681306137,0.44575723223540314,0.9453306,0.96405816,0,True,True,0.0,False,True
newspeakdaily,107,0.8814010273633878,0.45853300645040956,0.94296277,0.9640421,0,True,True,5.696484201157098e-05,False,True
newarkvoice,100,0.8813259094168322,0.46963087492793576,0.94033563,0.9616032,0,True,True,0.002633750636489737,False,True
bigboysneed,12,0.8812849432433901,0.48022109361577764,0.9380724,0.96133316,0,True,True,0.0017730496453900709,False,True
todaymiami,68,0.8810973075914876,0.4710370910727155,0.9405094,0.96306384,0,True,True,0.0,False,True
boriseleseev,8,0.8809524927440265,0.4900275873636377,0.9363265,0.9640115,0,True,True,0.0,False,True
jacksoncitypost,40,0.8808137018525518,0.4909594323616751,0.936326,0.9637545,0,True,True,0.0009615384615384616,False,True
charlesjharper,26,0.8807876498001693,0.459317548307983,0.9430206,0.9626466,0,True,True,0.0,False,True
dailysanfran,94,0.8807122389735518,0.4796593982780597,0.9389912,0.9631754,0,True,True,0.0005236887325096146,False,True
dailysandiego,54,0.8805685111625972,0.48025776891607413,0.9389687,0.96262556,0,True,True,0.0003676470588235294,False,True
neworleanson,69,0.8804854352318583,0.4875566266273663,0.9374193,0.9631013,0,True,True,6.915629322268326e-05,False,True
glebnikon,11,0.8803848428804177,0.49363526743078684,0.93610275,0.9626376,0,True,True,0.0,False,True
kansasdailynews,119,0.8801798339944032,0.4847065731329306,0.93834573,0.96266204,0,True,True,0.0003481718878467037,False,True
onlinememphis,24,0.8800484773463843,0.48438182689243886,0.93845433,0.96192867,0,True,True,0.004301075268817204,False,True
